frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h,track_id
147,4410.0,right,1442.0,484.5,16.0,1441,480,3,10,366
147,4410.0,right,1442.0,493.0,6.0,1441,491,3,5,371
147,4410.0,middle,1054.5,756.5,4.0,1053,755,4,4,368
147,4410.0,right,1440.44,623.73,17.5,1439,620,4,8,372
148,4440.0,right,1377.81,623.14,109.0,1375,605,9,34,374
148,4440.0,right,1359.0,617.5,8.0,1358,615,3,6,375
148,4440.0,right,1359.0,611.0,4.0,1358,609,3,5,378
149,4470.0,right,1377.54,608.41,13.0,1376,605,5,9,379
149,4470.0,right,1377.0,616.0,2.0,1376,615,3,3,374
149,4470.0,right,1377.73,628.35,73.5,1375,619,9,21,380
150,4500.0,right,1377.71,623.77,11.5,1375,621,7,6,380
150,4500.0,right,1377.2,634.5,14.0,1376,631,4,8,381
152,4560.0,right,1463.0,517.0,2.0,1462,516,3,3,384
152,4560.0,right,1466.0,657.0,2.0,1465,656,3,3,385
153,4590.0,right,1468.0,645.0,6.0,1467,643,3,5,387
153,4590.0,right,1467.0,651.0,2.0,1466,650,3,3,385
154,4620.0,right,1469.0,633.0,10.0,1468,630,3,7,388
155,4650.0,right,1462.8,478.28,31.5,1461,471,4,17,389
167,5010.0,right,1467.5,706.5,7.0,1466,705,4,4,398
167,5010.0,right,1478.5,706.0,4.0,1477,705,4,3,399
167,5010.0,right,1452.68,851.89,18.0,1451,848,4,9,400
168,5040.0,right,1435.35,458.41,426.5,1427,441,25,41,403
168,5040.0,right,1452.72,851.5,10.0,1451,849,4,6,400
168,5040.0,right,1468.0,706.5,4.0,1467,705,3,4,398
169,5070.0,right,1433.16,471.41,526.0,1426,441,26,80,407
169,5070.0,right,1477.52,491.82,11.0,1475,489,5,6,408
169,5070.0,right,1472.0,494.0,2.0,1471,493,3,3,409
169,5070.0,right,1487.1,514.86,24.5,1483,511,8,9,410
169,5070.0,right,1433.0,443.0,2.0,1432,442,3,3,411
170,5100.0,right,1488.0,516.0,2.0,1487,515,3,3,410
170,5100.0,right,1428.0,449.0,2.0,1427,448,3,3,411
170,5100.0,right,1432.92,473.14,407.0,1426,442,22,75,407
171,5130.0,right,1352.36,341.43,7.0,1351,339,4,6,413
171,5130.0,right,1441.73,449.07,24.5,1438,447,9,7,415
171,5130.0,right,1429.02,492.92,141.5,1427,475,7,41,416
172,5160.0,right,1352.0,328.0,2.0,1351,327,3,3,422
172,5160.0,right,1352.0,338.5,8.0,1351,335,3,8,413
172,5160.0,right,1376.5,660.5,10.0,1375,658,4,6,427
173,5190.0,right,1352.74,350.55,14.0,1351,347,5,7,428
173,5190.0,right,1377.0,661.5,4.0,1376,660,3,4,427
173,5190.0,right,1357.0,369.5,5.0,1355,368,5,4,429
173,5190.0,right,1402.25,380.67,12.0,1400,378,5,6,430
173,5190.0,right,1369.0,595.0,2.0,1368,594,3,3,431
174,5220.0,left,756.0,601.0,2.0,755,600,3,3,436
175,5250.0,left,778.0,283.5,4.0,777,282,3,4,440
175,5250.0,left,787.5,431.5,4.0,786,430,4,4,441
175,5250.0,left,722.0,445.0,2.0,721,444,3,3,442
175,5250.0,left,729.0,607.0,2.0,728,606,3,3,444
175,5250.0,left,725.08,609.82,12.0,722,608,7,5,445
