video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX010063.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
97,3.236567,all,1055.26,258.08,84.50,1047,255,17,7
97,3.236567,all,995.70,199.70,5.50,994,198,4,4
97,3.236567,all,987.43,193.93,61.50,983,188,10,13
97,3.236567,all,1642.91,126.64,32.50,1639,124,9,6
97,3.236567,all,1396.11,22.25,29.50,1394,16,5,12
98,3.269933,all,871.12,356.04,15.50,869,353,5,8
98,3.269933,all,1055.13,258.12,86.00,1047,255,17,7
98,3.269933,all,988.81,194.00,7.00,987,192,4,5
98,3.269933,all,1642.68,126.55,30.00,1639,124,9,6
99,3.303300,all,871.12,356.04,15.50,869,353,5,8
99,3.303300,all,1055.20,258.14,85.00,1047,255,17,7
99,3.303300,all,1642.50,126.63,31.50,1638,124,10,6
100,3.336667,all,871.12,356.04,15.50,869,353,5,8
100,3.336667,all,1055.20,258.14,85.00,1047,255,17,7
100,3.336667,all,1642.50,126.50,30.00,1639,124,8,6
101,3.370033,all,871.12,356.04,15.50,869,353,5,8
101,3.370033,all,1055.20,258.14,85.00,1047,255,17,7
101,3.370033,all,1642.50,126.50,30.00,1639,124,8,6
102,3.403400,all,871.12,356.04,15.50,869,353,5,8
102,3.403400,all,1055.20,258.14,85.00,1047,255,17,7
102,3.403400,all,1642.50,126.50,30.00,1639,124,8,6
103,3.436767,all,871.12,356.04,15.50,869,353,5,8
103,3.436767,all,1466.30,348.93,102.50,1463,338,8,26
103,3.436767,all,1466.32,328.42,36.50,1463,322,8,13
103,3.436767,all,1463.00,316.50,8.00,1462,314,3,6
103,3.436767,all,1055.25,258.17,84.00,1047,255,17,7
103,3.436767,all,1642.68,126.55,30.00,1639,124,9,6
103,3.436767,all,1426.88,74.45,143.50,1420,60,14,28
104,3.470133,all,871.12,356.04,15.50,869,353,5,8
104,3.470133,all,1467.70,343.30,5.50,1466,342,4,4
104,3.470133,all,1055.25,258.17,84.00,1047,255,17,7
104,3.470133,all,1642.50,126.50,30.00,1639,124,8,6
104,3.470133,all,1426.89,74.30,58.00,1423,68,9,13
105,3.503500,all,871.12,356.04,15.50,869,353,5,8
