trial,brick,channel,unit,vessel,environment,start_hour,end_hour,n_points,control_mean,control_slope_per_hour,channel_slope_per_hour,diff_mean,diff_min,diff_max,diff_slope_per_hour,source_csv,source_control_csv,RMR_corrected,abs_diff_mean,signal_to_background_ratio,diff_to_control_slope_ratio,flag_ratio_low,flag_crosses_zero,flag_negative_corrected_rmr,flag_weak_diff_slope,qc_exclude,qc_recommendation,qc_reason
trial2,newbox,Ch4,trial2 | newbox | Ch4,medium,night,1.0,8.0,5040,190.01794325396827,-2.768993904410173,-8.815615576050867,-28.37343988095238,-49.01000000000002,-7.967999999999989,-6.046621671640694,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial2.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial2.csv,3.53025268736507,28.37343988095238,0.14931979262021888,2.1836890503177195,False,False,False,False,False,include,none
trial3,box2,Ch2,trial3 | box2 | Ch2,cylinder,night,1.0,8.0,5041,194.3256774449514,-3.1008929588066922,-6.657989750887874,-21.816764530847056,-35.400000000000006,-9.590000000000003,-3.557096792081185,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box2-trial3.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box2-trial3.csv,5.2275652886883,21.816764530847056,0.11226907744559411,1.1471201483533093,False,False,False,False,False,include,none
trial3,box2,Ch3,trial3 | box2 | Ch3,cylinder,night,1.0,8.0,5041,194.3256774449514,-3.1008929588066922,-5.243724239049815,-18.82459035905574,-26.860000000000014,-9.569999999999993,-2.1428312802431027,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box2-trial3.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box2-trial3.csv,3.55823015619522,18.82459035905574,0.09687134817420874,0.6910368426186131,False,False,False,False,False,include,none
trial3,box2,Ch4,trial3 | box2 | Ch4,cylinder,night,1.0,8.0,5041,194.3256774449514,-3.1008929588066922,-8.432983617861943,-22.962082920055543,-42.690000000000026,-4.75,-5.332090659055234,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box2-trial3.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box2-trial3.csv,7.57233159277447,22.962082920055543,0.11816288625285809,1.7195339304416473,False,False,False,False,False,include,none
trial3,box3,Ch2,trial3 | box3 | Ch2,medium,night,1.0,8.0,5041,184.17680420551477,-4.443173329522972,-9.774146874757802,-30.576814124181706,-47.53,-8.599999999999994,-5.330973545234805,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box3-trial3.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box3-trial3.csv,3.07620873766141,30.576814124181706,0.16601881141284422,1.1998121947242009,False,False,False,False,False,include,none
trial3,box3,Ch3,trial3 | box3 | Ch3,medium,night,1.0,8.0,5041,184.17680420551477,-4.443173329522972,-8.381614437704165,-22.50232691926205,-36.54999999999998,-8.550000000000011,-3.9384411081811974,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box3-trial3.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box3-trial3.csv,2.52112011632631,22.50232691926205,0.12217785522019656,0.8864027610909415,False,False,False,False,False,include,none
trial3,box3,Ch4,trial3 | box3 | Ch4,medium,night,1.0,8.0,5041,184.17680420551477,-4.443173329522972,-11.710575055723819,-31.245637770283675,-57.110000000000014,-7.060000000000002,-7.267401726200834,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box3-trial3.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box3-trial3.csv,4.07079645034758,31.245637770283675,0.16965023312733996,1.635633180519078,False,False,False,False,False,include,none
trial3,newbox,Ch2,trial3 | newbox | Ch2,small,night,1.0,8.0,5040,184.3049821428571,-10.59486342888629,-8.786624542660297,-18.28423611111111,-26.05000000000001,-6.556000000000012,1.8082388862260033,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial3.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial3.csv,0.384283741359016,18.28423611111111,0.0992064126450991,0.17067127841641375,False,False,False,True,False,include,weak_channel_minus_control_slope
trial3,newbox,Ch3,trial3 | newbox | Ch3,small,night,1.0,8.0,5040,184.3049821428571,-10.59486342888629,-9.173747182513099,-31.112309126984126,-37.815,-22.268000000000015,1.4211162463732085,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial3.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial3.csv,0.517094416912964,31.112309126984126,0.16880883395056448,0.13413256865251172,False,False,False,True,False,include,weak_channel_minus_control_slope
trial3,newbox,Ch4,trial3 | newbox | Ch4,small,night,1.0,8.0,5040,184.3049821428571,-10.59486342888629,-9.305056838215274,-30.089801785714286,-37.18800000000002,-23.772999999999996,1.289806590671027,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial3.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial3.csv,0.42833179817292,30.089801785714286,0.16326092455942423,0.12173885951495175,False,False,False,True,False,include,weak_channel_minus_control_slope
