sconds,hours,Ch1,Ch3,Ch4,Temp
2415,0.670833333,193.71,188.76,193.32,26.888
2420,0.672222222,193.71,188.72,193.31,26.891
2425,0.673611111,193.64,188.69,193.27,26.896
2430,0.675,193.59,188.65,193.24,26.904
2435,0.676388889,193.53,188.59,193.18,26.914
2440,0.677777778,193.51,188.56,193.17,26.924
2445,0.679166667,193.48,188.52,193.14,26.932
2450,0.680555556,193.45,188.49,193.13,26.937
2455,0.681944444,193.42,188.47,193.11,26.936
2460,0.683333333,193.43,188.48,193.12,26.931
2465,0.684722222,193.44,188.49,193.16,26.929
2470,0.686111111,193.46,188.43,193.15,26.933
2475,0.6875,193.48,188.42,193.13,26.938
2480,0.688888889,193.48,188.41,193.09,26.94
2485,0.690277778,193.44,188.44,193.09,26.94
2490,0.691666667,193.45,188.42,193.11,26.937
2495,0.693055556,193.43,188.43,193.12,26.934
2500,0.694444444,193.45,188.44,193.16,26.928
2505,0.695833333,193.43,188.44,193.18,26.924
2510,0.697222222,193.45,188.42,193.2,26.92
2515,0.698611111,193.45,188.43,193.2,26.915
2520,0.7,193.49,188.44,193.22,26.914
2525,0.701388889,193.51,188.48,193.21,26.91
2530,0.702777778,193.53,188.5,193.22,26.909
2535,0.704166667,193.51,188.51,193.2,26.908
2540,0.705555556,193.47,188.49,193.2,26.91
2545,0.706944444,193.46,188.45,193.19,26.912
2550,0.708333333,193.45,188.42,193.21,26.913
2555,0.709722222,193.46,188.41,193.19,26.915
2560,0.711111111,193.48,188.41,193.18,26.918
2565,0.7125,193.5,188.43,193.14,26.92
2570,0.713888889,193.49,188.46,193.15,26.921
2575,0.715277778,193.48,188.48,193.11,26.92
2580,0.716666667,193.46,188.47,193.12,26.92
2585,0.718055556,193.44,188.47,193.12,26.918
2590,0.719444444,193.39,188.46,193.14,26.917
2595,0.720833333,193.44,188.47,193.14,26.915
2600,0.722222222,193.47,188.43,193.11,26.918
2605,0.723611111,193.48,188.44,193.1,26.918
2610,0.725,193.47,188.42,193.09,26.919
2615,0.726388889,193.49,188.46,193.1,26.916
2620,0.727777778,193.53,188.45,193.1,26.914
2625,0.729166667,193.53,188.48,193.09,26.911
2630,0.730555556,193.51,188.47,193.11,26.909
2635,0.731944444,193.48,188.46,193.12,26.908
2640,0.733333333,193.49,188.46,193.14,26.905
2645,0.734722222,193.52,188.48,193.13,26.903
2650,0.736111111,193.57,188.49,193.13,26.9
2655,0.7375,193.55,188.48,193.12,26.9
2660,0.738888889,193.58,188.49,193.1,26.899
2665,0.740277778,193.56,188.48,193.11,26.899
2670,0.741666667,193.54,188.5,193.1,26.898
2675,0.743055556,193.5,188.52,193.11,26.897
2680,0.744444444,193.51,188.55,193.08,26.896
2685,0.745833333,193.54,188.56,193.1,26.893
2690,0.747222222,193.56,188.54,193.08,26.895
2695,0.748611111,193.53,188.53,193.06,26.896
2700,0.75,193.53,188.5,193.01,26.901
2705,0.751388889,193.45,188.51,192.96,26.903
2710,0.752777778,193.43,188.49,192.96,26.906
2715,0.754166667,193.36,188.49,192.96,26.909
2720,0.755555556,193.37,188.46,192.97,26.912
2725,0.756944444,193.4,188.46,192.93,26.913
2730,0.758333333,193.47,188.46,192.95,26.908
2735,0.759722222,193.5,188.46,192.96,26.903
2740,0.761111111,193.5,188.48,192.98,26.899
2745,0.7625,193.48,188.47,192.96,26.898
2750,0.763888889,193.5,188.5,192.97,26.894
2755,0.765277778,193.52,188.48,192.99,26.893
2760,0.766666667,193.53,188.47,193.01,26.893
2765,0.768055556,193.55,188.44,192.99,26.894
2770,0.769444444,193.5,188.43,192.96,26.894
2775,0.770833333,193.48,188.43,192.95,26.892
2780,0.772222222,193.45,188.42,192.96,26.892
2785,0.773611111,193.45,188.42,193,26.892
2790,0.775,193.45,188.41,193.01,26.89
2795,0.776388889,193.44,188.41,193,26.89
2800,0.777777778,193.47,188.4,192.98,26.889
2805,0.779166667,193.46,188.37,192.97,26.891
2810,0.780555556,193.5,188.37,192.97,26.89
2815,0.781944444,193.49,188.34,192.98,26.891
2820,0.783333333,193.47,188.36,192.99,26.89
2825,0.784722222,193.42,188.36,192.99,26.89
2830,0.786111111,193.41,188.36,192.97,26.891
2835,0.7875,193.42,188.34,192.95,26.892
2840,0.788888889,193.39,188.33,192.94,26.895
